,Title,Year,Authors,Venue,URL,Group,Abstract,Keywords
0,3D reconstruction of silhouettes,1984,"Sandini G., Straforini M., Torre V., Verri A.",Proc. 4th Int. Conf. Robot Vis. Sensory Controls,,PiMLB, , 
1,Absolute depth estimate in stereopsis,1986,"Verri A., Torre V.","Journal of the Optical Society of America A: Optics and Image Science, and Vision",https://doi.org/10.1364/JOSAA.3.000297,PiMLB,"An analysis of decrease of accuracy in passive stereoscopic vision shows that in order to obtain absolute depth estimates useful for robotics (Δz &lt; 1%) it is necessary to measure all mechanical parameters with an extremely high precision, to reach subpixel accuracy, and to match features between two rather different images.","Calibration, Cameras, Machine vision, Stereopsis, Vision, Visual system"
2,Stereo accuracy for robotics,1986,"Torre V., Verri A., Fiumicelli A.",Proc. 3rd Int. Symp. Robotic Research,,PiMLB, , 
3,Against quantitative optical flow,1987,"Verri A., Poggio T.",Proc. Image Understanding Workshop,,PiMLB, , 
4,A computational approach to motion perception,1988,"Uras S., Girosi F., Verri A., Torre V.",Biological Cybernetics,https://doi.org/10.1007/BF00202895,PiMLB,"In this paper it is shown that the computation of the optical flow from a sequence of timevarying images is not, in general, an underconstrained problem. A local algorithm for the computation of the optical flow which uses second order derivatives of the image brightness pattern, and that avoids the aperture problem, is presented. The obtained optical flow is very similar to the true motion field — which is the vector field associated with moving features on the image plane — and can be used to recover 3D motion information. Experimental results on sequences of real images, together with estimates of relevant motion parameters, like time-to-crash for translation and angular velocity for rotation, are presented and discussed. Due to the remarkable accuracy which can be achieved in estimating motion parameters, the proposed method is likely to be very useful in a number of computer vision applications.",
5,Generalized Eulerian numbers and the topology of the Hessenberg variety of a matrix,1988,"De Mari F., Shayman M.A.",Acta Applicandae Mathematicae,https://doi.org/10.1007/BF00046881,CHarML,"Let A∈gl(n, C) and let p be a positive integer. The Hessenberg variety of degree p for A is the subvariety Hess(p, A) of the complete flag manifold consisting of those flags S1⊂⋯⊂Sn−1in ℂn which satisfy the condition ASi⊂Si+p,for all i. We show that if A has distinct eigenvalues, then Hess(p, A) is smooth and connected. The odd Betti numbers of Hess(p, A) vanish, while the even Betti numbers are given by a natural generalization of the Eulerian numbers. In the case where the eigenvalues of A have distinct moduli, |λ1|<⋯<|λ1|, these results are applied to determine the dimension and topology of the submanifold of U(n) consisting of those unitary matrices P for which A0=P-1AP is in Hessenberg form and for which the diagonal entries of the QR-iteration initialized at A0 converge to a given permutation of λ1,λn.",
6,Some perspective projection invariants,1988,"Verri A., Yuille A.","Journal of the Optical Society of America A: Optics and Image Science, and Vision",https://doi.org/10.1364/JOSAA.5.000426,PiMLB,"An important part of stereo vision consists of finding and matching points in two images that correspond to the same physical element in the scene. When the two images of the same scene are taken from quite different points of view, matching corresponding elements can be difficult. It is desirable therefore to consider perspective projection invariants, that is, features or image properties that are invariant for arbitrary perspective projections. We prove theorems about the projections of zeros of curvature of curves, namely, that zeros of curvatures of planar curves are perspective invariants and that zeros of curvature of arbitrary curves are almost always perspective invariants. We also show that the projected zeros of curvature of planar curves are only stable for deformations occurring in the plane of the curve.","Curvature, Machine vision, Opacity, Stereo matching, Three dimensional reconstruction, Vision"
7,3D visual information from vanishing points,1989,"Bellutta P., Collini G., Verri A., Torre V.",Proc. IEEE Work. Interpretation of 3D Scenes,https://ieeexplore.ieee.org/document/68100,PiMLB,"It is shown that when a priori information on the mutual direction of straight lines in the 3D scene is available, vanishing points can be extracted and located reliably on the image plane. Then, by using simple properties of vanishing points, it is possible to perform efficiently several visual tasks, such as estimating the rotational component of motion between the viewer and the scene, and identifying and recovering the orientation and relative position in space of the viewed planar patches. Extensive experimentation on real images shows that vanishing points are usually identified and located correctly, even in cluttered images. It is concluded that the proposed approach can be very helpful for the development of effective vision systems.<>","Aerospace industry, Cultural differences, Data mining, Geometry, Humans, Image analysis, Layout, Machine vision, Motion estimation, Physics computing"
8,Analysis of differential and matching methods for optical flow,1989,"Little J. J., Verri A.",Workshop on Visual Motion 1989,https://ieeexplore.ieee.org/document/47107,PiMLB," A number of algorithms for optical flow are studied on both a theoretical and an experimental ground. Differential and matching methods are examined. Both types of optical-flow algorithms can use either local or global constraints, such as spatial smoothness, in computing the flow. Local matching and differential techniques and global differential techniques are examined. The traditional algorithms for optical flow utilize weak assumptions on the local variation of the flow, and on the variation of image brightness. Strengthening these assumptions improves the flow computation. The computational consequence of this is a necessity for larger spatial and temporal support. Using larger support is valid when constraints on the local shape of the flow are satisfied. Experiments show the behavior of these optical-flow methods on velocity fields which do not obey the assumptions. Implementation of these methods highlights the importance of numerical differentiation.","Image motion analysis, Shape, Optical computing, Artificial intelligence, Brightness, Contracts,Smoothing methods, Computer science, Application software, Pixel,
computer vision, optical information processing, differential matching, local constraints, matching methods,optical flow,global constraints,spatial smoothness,
image brightness,temporal support,numerical differentiation"
9,Constraints for the computation of optical flow,1989,"Girosi F., Verri A., Torre V.",Workshop on Visual Motion 1989,https://www.computer.org/csdl/proceedings-article/wvm/1989/00047101/12OmNz6iO3C,PiMLB," A number of constraints are proposed for which both the components of optical flow can be obtained by local differential techniques and the aperture problem can usually be solved. The constraints are suggested by the observation that it is possible to describe spatial and temporal changes of the image brightness in terms of infinitesimal deformations. An arbitrary choice of two of the four equations which correspond to the elementary deformations of a 2-D pattern implies that the spatial gradient of the image brightness is stationary and leads to a linear system of equations for optical flow which seems best suited for numerical implementation on real data in the absence of a priori information. In that case, the error term between the computed optical flow and the motion field-that is, the 2-D vector field associated with the true displacement of points on the image plane-is derived and the conditions under which it can safely be neglected are discussed. Experiments on real images are reported which show that the obtained optical flows allow the estimate of 3-D motion parameters, the detection of discontinuities in the flow field, and the segmentation of the image in different moving objects."," optical flow, computer vision"
10,Mathematical properties of the 2D motion field: from singular points to motion parameters,1989,"Verri A., Girosi F., Torre V.",Workshop on Visual Motion 1989,https://ieeexplore.ieee.org/abstract/document/47109,PiMLB," The authors study the mathematical properties of the 2-D motion field which are useful for motion understanding. It has been shown that the location and the nature of singular points of the motion field carry most of the relevant information on 3-D motion. Moreover, since the singular points of the motion field are usually structurally stable, the extraction of 3-D motion information from them is robust against noise and small perturbations. The practical relevance of the proposed approach is justified by the observation that it is possible to obtain from a time-varying sequence of images a 2-D vector field which is very close to the true motion field. As a consequence the recovery of 3-D motion from structurally stable properties of the optical flow is feasible and provides good experimental results. Therefore, the whole framework seems very appropriate for computer vision","Motion estimation, Motion analysis, Differential equations, Layout, Image sequences, Image analysis, Image motion analysis, Computer vision, Image segmentation, Structural engineering, computer vision, mathematical properties, 2-D motion field, singular points, motion parameters, time-varying sequence, 2-D vector field, structurally stable properties, computer vision"
11,Mathematical properties of the two-dimensional motion field: From singular points to motion parameters,1989,"Verri A., Girosi F., Torre V.","Journal of the Optical Society of America A: Optics and Image Science, and Vision",https://doi.org/10.1364/JOSAA.6.000698,PiMLB,"The motion field, that is, the two-dimensional vector field associated with the velocity of points on the image plane, can be seen as the flow vector of the solution to a planar system of differential equations. Therefore the theory of planar dynamical systems can be used to understand qualitative and quantitative properties of motion. In this paper it is shown that singular points of the motion field, which are the points where the field vanishes, and the time evolution of their local structure capture essential features of three-dimensional motion that make it possible to distinguish translation, rotation, and general motion and also make possible the computation of the relevant motion parameters. Singular points of the motion field are the perspective projection onto the image plane of the intersection between a curve called the characteristic curve, which depends on only motion parameters, and the surface of the moving object. In most cases, singular points of the motion field are left unchanged in location and spatial structure by small perturbations affecting the vector field. Therefore a description of motion based on singular points can be used even when the motion field of an image sequence has not been estimated with high accuracy.","Machine vision, Motion analysis, Motion estimation, Optical flow, Surfaces, Three dimensional imaging"
12,Motion Field and Optical Flow: Qualitative Properties,1989,"Verri A., Poggio T.",IEEE Transactions on Pattern Analysis and Machine Intelligence,https://doi.org/10.1109/34.24781,PiMLB,"It is shown that the motion field the 2-D vector field which is the perspective projection on the image plane of the 3-D velocity field of a moving scene, and the optical flow, defined as the estimate of the motion field which can be derived from the first-order variation of the image brightness pattern, are in general different, unless special conditions are satisfied. Therefore, dense optical flow is often ill-suited for computing structure from motion and for reconstructing the 3-D velocity field by algorithms which require a locally accurate estimate of the motion field. A different use of the optical flow is suggested. It is shown that the (smoothed) optical flow and the motion field can be interpreted as vector fields tangent to flows of planar dynamical systems. Stable qualitative properties of the motion field, which give useful informations about the 3-D velocity field and the 3-D structure of the scene, usually can be obtained from the optical flow. The idea is supported by results from the theory of structural stability of dynamical systems.<>","Artificial intelligence, Biomedical optical imaging, Brightness, Image motion analysis, Image reconstruction, Laboratories, Layout, Motion estimation, Optical computing, Surface reconstruction"
13,Computing optical flow from an overconstrained system of linear algebraic equations,1990,"Campani M., Verri A.",Proc. 3rd Int. Conf. Comput. Vis.,https://ieeexplore.ieee.org/document/139485?anchor=citations,PiMLB,"A method is presented for the recovery of optical flow. The key idea is that the local spatial structure of optical flow, with the exception of surface boundaries, is usually rather coherent and can thus be appropriately approximated by a linear vector field. According to the proposed method, the optical flow components and their first order spatial derivatives are computed at the central points of rather large and overlapping patches which cover the image plane as the solution to a highly overconstrained system of linear algebraic equations. The equations, which are solved through the use of standard least mean square techniques, are derived from the assumptions that the changing image brightness is stationary everywhere over time and that optical flow is, locally, a linear vector field. The method has been tested on many sequences of synthetic and real images and the obtained optical flow has been used to estimate three-dimensional motion parameters with very good results.<>","Brightness, Equations, Image motion analysis, Least squares approximation, Linear approximation, Motion estimation, Optical computing, Optical devices, Testing, Vectors"
14,Differential techniques for optical flow,1990,"Verri A., Girosi F., Torre V.","Journal of the Optical Society of America A: Optics and Image Science, and Vision",https://doi.org/10.1364/JOSAA.7.000912,PiMLB,"We show that optical flow, i.e., the apparent motion of the time-varying brightness over the image plane of an imaging device, can be estimated by means of simple differential techniques. Linear algebraic equations for the two components of optical flow at each image location are derived. The coefficients of these equations are combinations of spatial and temporal derivatives of the image brightness. The equations are suggested by an analogy with the theory of deformable bodies and are exactly true for particular classes of motion or elementary deformations. Locally, a generic optical flow can be approximated by using a constant term and a suitable combination of four elementary deformations of the time-varying image brightness, namely, a uniform expansion, a pure rotation, and two orthogonal components of shear. When two of the four equations that correspond to these deformations are satisfied, optical flow can more conveniently be computed by assuming that the spatial gradient of the image brightness is stationary. In this case, it is also possible to evaluate the difference between optical flow and motion field—that is, the two-dimensional vector field that is associated with the true displacement of points on the image plane. Experiments on sequences of real images are reported in which the obtained optical flows are used successfully for the estimate of three-dimensional motion parameters, the detection of flow discontinuities, and the segmentation of the image in different moving objects.","Apparent images, Brightness, Machine vision, Motion analysis, Optical flow, Three dimensional reconstruction"
15,Limit cycles of the two-dimensional motion field,1990,"Verri A., Aicardi F.",Biological Cybernetics,https://doi.org/10.1007/BF02331343,PiMLB,"Recently, it has been shown that there can be limit cycles in the vector field generated by the perspective projection on the image plane of the three dimensional velocity field of a certain class of non-planar rotating surfaces. In this paper, it is shown that, for any possible rigid motion, there cannot be limit cycles in the motion field of a planar surface. Therefore, the presence of limit cycles in the motion field is necessarily due to the non-planar structure of the viewed scene. An experiment on real images is also presented in which a limit cycle occurs when two planar patches have different orientation in space rotate around a fixed axis.",
16,First order differential technique for optical flow,1991,"Campani M., Straforini M., Verri A.",Proceedings of SPIE - The International Society for Optical Engineering,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/1388/0000/First-order-differential-technique-for-optical-flow/10.1117/12.48095.short,PiMLB, , 
17,Computational aspects of motion perception in natural and artificial vision systems.,1992,"Verri A., Straforini M., Torre V.","Philosophical transactions of the Royal Society of London. Series B, Biological sciences",https://doi.org/10.1098/rstb.1992.0119,PiMLB, , 
18,First-order analysis of optical flow in monkey brain,1992,"Orban G.A., Lagae L., Verri A., Raiguel S., Xiao D., Maes H., Torre V.",Proceedings of the National Academy of Sciences of the United States of America,https://doi.org/10.1073/pnas.89.7.2595,PiMLB,"Optical flow is a rich source of information about the three-dimensional motion and structure of the visual environment. Little is known of how the brain derives this information. One possibility is that it analyzes first-order elementary components of optical flow, such as expansion, rotation, and shear. Using a combination of physiological recordings and modeling techniques, we investigated the contribution of the middle superior temporal area (MST), a third-order cortical area in the dorsal visual pathway that receives inputs from the medial temporal area (MT). The results show (i) that MST cells, but not MT cells, are selective for elementary flow components (EFCs) alone or their combination with translation, (ii) that MST cells selective for an EFC do not extract this component from a more complex motion pattern, and (iii) that position invariance as observed in MST is compatible with an input arrangement from MT cells matching the selectivity of MST neurons.",
